Rank  	Player  	   	Alliance  	Points
164   * 	Zdravko Dren 	write message   	RHCP 	597.930
165   * 	Skias 	write message   	Nuke 	594.456
166   * 	Wales 	write message   	FOSR 	592.821
167   + 	darth neo 	write message   	RP 	586.802
168   - 	oefzoef 	write message   	B1 	584.696
169   * 	slacker 	write message   	doop 	579.354
170   * 	bandytaa 	write message   	V RP 	579.125
171   + 	Serinity 	write message   	Lost 	576.820
172   - 	nelutu 	write message   	Nuke 	575.670
173   - 	lennox 	write message   	O.N.O 	574.180
174   - 	Lethal Strike 	write message   		574.041
175   - 	k0r0z1f_black 	write message   	Rockers 	567.519
176   - 	Darth Ramsus 	write message   	RP 	567.116
177   - 	Teshadun13 	write message   	REAVER 	564.827
178   * 	the invisible 	write message   	TmX 	560.637
179   + 	Aubrey 	write message   	Armada 	558.795
180   - 	XXX11 	write message   		558.663
181   * 	xXxTAOxXx 	write message   	MooNStaR 	556.778
182   + 	luckfully 	write message   	doop 	551.814
183   - 	NecronLord 	write message   	doop 	551.807
184   * 	Abe_Froeman 	write message   	UFP 	547.032
185   * 	VSD 	write message   		545.974
186   * 	nikers 	write message   	O.N.O 	545.187
187   * 	adoken 	write message   	MGS 	545.006
188   * 	Pidgeonator 	write message   	doop 	544.897
189   * 	zero1 	write message   	doop 	544.091
190   * 	SNAKE DOCTOR 	write message   	HT 	542.806
191   * 	Master Pef 	write message   	SOLID 	538.292
192   * 	SYOUS 	write message   	M.O.A 	537.050
193   * 	neo666666 	write message   	Nuke 	536.690
194   + 	Shadow Wolf 	write message   	doop 	528.593
195   - 	Bradack 	write message   	SVIE 	528.338
196   - 	lastexile 	write message   	POTV 	526.537
197   - 	comespot 	write message   	Tardis 	522.848
198   - 	Bomis 	write message   	TmX 	521.288
199   * 	Prospero 	write message   	doop 	519.053
200   * 	Paragon000 	write message   	Lost 	518.276
 201   *    	  EXCALIBUR    	  write message       	  BARACUDA    	 517.635
202   * 	readie 	write message   	NC Veng 	517.315
203   * 	Foof 	write message   	MeBeT 	516.046
204   * 	Mackes 	write message   		515.124
205   * 	Teamplayer 	write message   	1.O.A.K 	514.304
206   * 	Admir 	write message   	Tardis 	513.511
207   * 	DismalFailure 	write message   	FOSR 	507.596
208   * 	Helluin 	write message   	RP 	506.078
209   * 	Recluse 	write message   		502.171
